posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted on 14-Mar-22,ASM Technology (M) Sdn Bhd,Senior Manager - Supply Chain Management,"MYR 10,000 - MYR 12,000",Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",20 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1001 - 2000 Employees
Posted on 14-Mar-22,Toll Logistics (Asia) Limited,Operation Controller (Part-Time),,Junior Executive,Primary/Secondary School/O Level,1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support,Services,Logistics/Supply Chain",Transportation / Logistics,201 - 500 Employees
Posted on 9-Mar-22,Quanterm Logistics Sdn Bhd,OCEAN IMPORT EXPORT COORDINATOR/EXECUTIVE,"MYR 2,000 - MYR 4,000",Senior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,501 - 1000 Employees
Posted 7 hours ago,Lumileds Malaysia Sdn Bhd,Senior/Supply Planner,,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 9-Mar-22,Hotayi Electronic (M) Sdn Bhd (Hotayi Group),SCM (Supply Chain),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 9-Mar-22,Western Digital,Warehouse Material Handler,,Entry Level,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,2001 - 5000 Employees
Posted 24 hours ago,LAM RESEARCH INTERNATIONAL SDN. BHD.,Manufacturing Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",8 years,Full-Time,"Manufacturing,Manufacturing",Semiconductor/Wafer Fabrication,501 - 1000 Employees
Posted 23 hours ago,Jora Jobs,Procurement Manager,,Manager,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 5-Mar-22,XSD International Paper,Shipping Executive - Based in Kulim,"MYR 2,500 - MYR 5,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services,Logistics/Supply Chain",Wood / Fibre / Paper,1001 - 2000 Employees
Posted 20 hours ago,Jabil Circuit Sdn Bhd,Lean Section Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,More than 5000 Employees
Posted 19 hours ago,Micron Memory Malaysia Sdn Bhd,Indirect Category Supplier Manager,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 10-Mar-22,ADVANCED ENERGY INDUSTRIES (MALAYSIA) SDN. BHD.,Warehouse Manager,"MYR 8,000 - MYR 10,000",Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 9-Mar-22,LAM RESEARCH INTERNATIONAL SDN. BHD.,Internship for Business Management Students,,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Services,Logistics/Supply Chain",Semiconductor/Wafer Fabrication,501 - 1000 Employees
Posted on 11-Mar-22,Celestica Malaysia Sdn Bhd,Commodity Management Officer (Cable),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,2001 - 5000 Employees
Posted on 10-Mar-22,BABA ECO GROUP BHD,Warehouse Executive / Assistant Manager,"MYR 4,000 - MYR 5,600",Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 12-Mar-22,Jora Jobs,Purchasing Executive,,Junior Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted 23 hours ago,Jora Jobs,Purchasing Admin,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support,Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 11-Mar-22,Agensi Pekerjaan Adecco Personnel Sdn Bhd,Distribution Lead,"MYR 5,500 - MYR 6,500",Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,201 - 500 Employees
Posted on 12-Mar-22,Jora Jobs,Purchasing Coordinator,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 11-Mar-22,Agensi Pekerjaan Iconic Malaysia Gw Sdn. Bhd.,Sales Coordinator,"MYR 3,000 - MYR 4,000",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Sales/Marketing,Sales - Eng/Tech/IT",Human Resources Management / Consulting,1 - 50 Employees
Posted on 28-Feb-22,Kemikon Sdn. Bhd.,Material Planner,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,201 - 500 Employees
Posted on 1-Mar-22,ALLSTARZ RESOURCES SDN. BHD.,Logistic Executive,"MYR 2,200 - MYR 2,800",Junior Executive,Not Specified,5 years,Full-Time,"Services,Logistics/Supply Chain",General & Wholesale Trading,1 - 50 Employees
Posted on 1-Mar-22,Flex,Materials Manager - Prai,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",7 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,More than 5000 Employees
Posted on 7-Mar-22,UWC Holdings Sdn Bhd,JobStreet Tech Virtual Career Fair (9-11th March 2022),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Engineering,Electrical",Manufacturing / Production,1001 - 2000 Employees
Posted on 12-Mar-22,NLC General Pest Control Sdn Bhd,Technical Sales Executive / Marketing Executive,,Junior Executive,Not Specified,1 year,Full-Time,"Sales/Marketing,Retail Sales",Chemical/Fertilizers/Pesticides,201 - 500 Employees
Posted on 7-Mar-22,Gurney Paragon Mall,Car Park Supervisor,,Junior Executive,Not Specified,3 years,Full-Time,"Others,General Work",Property / Real Estate,51 - 200 Employees
Posted on 12-Mar-22,Jora Jobs,Production Operator,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 25-Feb-22,SIW MANUFACTURING SDN. BHD.,Procurement Executive,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 1-Mar-22,Lifework Recruitment Agency Sdn Bhd,Planner,"MYR 3,500 - MYR 7,000",Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,201 - 500 Employees
Posted on 1-Mar-22,Plexus Manufacturing Sdn Bhd,Demand Analyst (Material Planning),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 11-Mar-22,Smith & Associates Malaysia Sdn Bhd,Sales Manager/ Senior Sales Representative (Thai/ Vietnamese/ Japanese speaking),,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Sales/Marketing,Sales - Corporate",Electrical & Electronics,501 - 1000 Employees
Posted on 2-Mar-22,WT Microelectronics (M) Sdn Bhd,Customer Service Representative cum Planner,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Services,Customer Service",Electrical & Electronics,1 - 50 Employees
Posted on 12-Mar-22,Hardware Specialty Sdn Bhd,Account Executive (Sales),"MYR 3,200 - MYR 3,500",Junior Executive,Not Specified,1 year,Full-Time,"Sales/Marketing,Sales - Corporate",General & Wholesale Trading,51 - 200 Employees
Posted on 1-Mar-22,SAM Engineering & Equipment (M) Bhd,Manufacturing Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",8 years,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,1001 - 2000 Employees
Posted on 8-Mar-22,Swanson Plastics (Malaysia) Sdn Bhd,Production Trainee,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",,Full-Time,"Manufacturing,Manufacturing",Polymer / Plastic / Rubber / Tyres,51 - 200 Employees
Posted on 23-Feb-22,FR DEVELOPMENT ASIA SDN BHD,Warehouse Manager货仓主管 (Penang),"MYR 6,000 - MYR 10,000",Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Services,Logistics/Supply Chain",Automobile / Automotive Ancillary / Vehicle,1 - 50 Employees
Posted on 10-Mar-22,Company Confidential,Ecommerce Admin Executive,"MYR 1,800 - MYR 2,400",Entry Level,Primary/Secondary School/O Level,,Full-Time,"Sales/Marketing,E-commerce",,
Posted on 3-Mar-22,Cortex Robotics Sdn Bhd,Production Manager,,Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",10 years,Full-Time,"Manufacturing,Manufacturing",Computer / Information Technology (Software),51 - 200 Employees
Posted on 9-Mar-22,QASHIER SDN. BHD.,Business Development Executive,"MYR 3,000 - MYR 5,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Sales/Marketing,Marketing/Business Dev",Computer / Information Technology (Software),1 - 50 Employees
Posted on 22-Feb-22,IJM Corporation Berhad,PURCHASING OFFICER,,Junior Executive,Primary/Secondary School/O Level,1 year,Contract,"Manufacturing,Purchasing/Material Mgmt",Construction / Building / Engineering,2001 - 5000 Employees
Posted on 21-Feb-22,Star Concord Logistics Sdn Bhd,Customer Service / Documentation,"MYR 1,800 - MYR 3,000",Entry Level,Primary/Secondary School/O Level,1 year,Full-Time,"Services,Customer Service",Transportation / Logistics,1 - 50 Employees
Posted on 1-Mar-22,NI Malaysia Sdn Bhd,APAC Indirect Procurement Manager,,Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",7 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,501 - 1000 Employees
Posted on 24-Feb-22,LAM RESEARCH INTERNATIONAL SDN. BHD.,Expeditor (Production & Material Coordinator),,Non-Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Semiconductor/Wafer Fabrication,501 - 1000 Employees
Posted on 25-Feb-22,KP Asli Sdn Bhd,Junior Purchasing Executive,"MYR 2,000 - MYR 2,500",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Agricultural / Plantation / Poultry / Fisheries,51 - 200 Employees
Posted on 4-Mar-22,Uniplan Projects (M) Sdn Bhd,General Worker,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Others,General Work",Architectural Services / Interior Designing,1 - 50 Employees
Posted on 7-Mar-22,Company Confidential,CNC Machinist Supervisor,,Senior Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",5 years,Full-Time,"Manufacturing,Manufacturing",,
Posted on 22-Feb-22,Custom Food Group,Export & Local Sales Cordinator,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Sales/Marketing,Sales - Corporate",Manufacturing / Production,51 - 200 Employees
Posted on 22-Feb-22,Flex,Planner Scheduler - (WD126790),,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Others,Others",Manufacturing / Production,More than 5000 Employees
Posted on 3-Mar-22,Chan Furniture (M) Sdn Bhd,Management Trainee,,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Sales/Marketing,Merchandising",Retail / Merchandise,1001 - 2000 Employees
Posted on 11-Mar-22,PERSYS SURFACE TECHNOLOGY SDN. BHD.,Factory operator,"MYR 1,200 - MYR 1,500",Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 4-Mar-22,Plexus Manufacturing Sdn Bhd,Program/Customer Management Section Head / Manager (NPI),,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",7 years,Full-Time,"Services,Customer Service",Electrical & Electronics,More than 5000 Employees
Posted on 22-Feb-22,Poo Trading Import & Export Sdn Bhd,OPERATION & CUSTOMER SUPPORT,"MYR 2,300 - MYR 3,000",Junior Executive,Not Specified,,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Food & Beverage / Catering / Restaurant,201 - 500 Employees
Posted on 17-Feb-22,Robert Bosch Power Tools Sdn Bhd,Logistics Officer,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",4 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1001 - 2000 Employees
Posted on 1-Mar-22,Company Confidential,CUSTOMER SERVICE OFFICER,"MYR 2,200 - MYR 2,800",Non-Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Customer Service",,
Posted on 23-Feb-22,Company Confidential,Planner,"MYR 2,500 - MYR 4,500",Entry Level,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",,
Posted on 18-Feb-22,KLS Martin SE Asia Sdn Bhd,Customer Service Executive,"MYR 3,800 - MYR 4,200",Junior Executive,Not Specified,2 years,Full-Time,"Services,Customer Service",General & Wholesale Trading,51 - 200 Employees
Posted on 18-Feb-22,Target Airfreight (M) Sdn Bhd,CUSTOMER SERVICE (Executive),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Services,Customer Service",Transportation / Logistics,51 - 200 Employees
Posted on 21-Feb-22,MeHow Medical (M) Sdn Bhd,Production Officer,,Entry Level,Higher Secondary/STPM/'A' Level/Pre-U,,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Manufacturing / Production,201 - 500 Employees
Posted on 5-Mar-22,Renesas Semiconductor (Malaysia) Sdn Bhd,JobStreet Tech Virtual Career Fair (9-11th March 2022),,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Engineering,Electronics",Electrical & Electronics,1001 - 2000 Employees
Posted on 18-Feb-22,Target Airfreight (M) Sdn Bhd,CUSTOMS DECLARATION ASSISTANT,,Junior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,51 - 200 Employees
Posted on 16-Feb-22,BDP (MALAYSIA) SDN. BHD.,Logistics Coordinator / Specialist / Executive,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,51 - 200 Employees
Posted on 24-Feb-22,MDI FORTUNE SDN BHD,Operations Manager - Janitorial,"MYR 4,000 - MYR 4,500",Manager,Not Specified,2 years,Full-Time,"Others,General Work",Repair & Maintenance Services,1 - 50 Employees
Posted on 18-Feb-22,Integrated Cold Chain Logistics Sdn. Bhd.(Penang),Logistics Analyst (Logistics Education Background),"MYR 3,000 - MYR 4,200",Non-Executive,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,51 - 200 Employees
Posted on 25-Feb-22,Micron Memory Malaysia Sdn Bhd,Procurement Compliance Analyst,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Services,Lawyer/Legal Asst",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 5-Mar-22,AVIA REFUELLING SERVICES SDN. BHD.,AIRPORT OPERATOR,"MYR 1,400 - MYR 2,000",Non-Executive,Primary/Secondary School/O Level,1 year,Contract,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 28-Feb-22,Company Confidential,"QA Team Lead (Based in Kulim High Tech Park, Kedah)",,Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Manufacturing",,
Posted on 18-Feb-22,Western Digital,"Support 2, Production Control",,Non-Executive,"Diploma, Advanced/Higher/Graduate Diploma",3 years,Full-Time,"Services,Logistics/Supply Chain",Electrical & Electronics,2001 - 5000 Employees
Posted on 24-Feb-22,Western Digital,Production Leader,,Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",5 years,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,2001 - 5000 Employees
Posted on 24-Feb-22,Dell Global Business Center Sdn Bhd,"Analyst/ Senior Analyst, Demand Planning",,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Services,Logistics/Supply Chain",Computer/Information Technology (Hardware),2001 - 5000 Employees
Posted on 11-Mar-22,Mei Man Realty Sdn Bhd,Bellman / Security,"MYR 1,500 - MYR 1,800",Non-Executive,Not Specified,,Full-Time,"Services,Customer Service",Hotel / Hospitality,1 - 50 Employees
Posted on 24-Feb-22,MSV INTERNATIONAL SDN. BHD.,Customer Service Executive,"MYR 2,400 - MYR 2,700",Junior Executive,Not Specified,2 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,1 - 50 Employees
Posted on 21-Feb-22,TIANYUN EXPRESS LOGISTICS SDN. BHD.,Customer Service,,Non-Executive,Not Specified,,Full-Time,"Services,Customer Service",Transportation / Logistics,1 - 50 Employees
Posted on 19-Feb-22,Dell Global Business Center Sdn Bhd,Customer/Technical Training Senior Analyst,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Process Control",Computer/Information Technology (Hardware),2001 - 5000 Employees
Posted on 17-Feb-22,Robert Bosch Power Tools Sdn Bhd,Technical Buyer - Technical,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",4 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 28-Feb-22,TZY PROPERTIES SDN. BHD.,Full Time Customer Relationship Executive / Customer Service Executive 聘请客服,"MYR 3,000 - MYR 4,200",Entry Level,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,"Services,Customer Service",Property / Real Estate,51 - 200 Employees
Posted on 1-Mar-22,JBFM Flour Mill Sdn Bhd,Flour Mill - Forklift Driver,"MYR 1,200 - MYR 1,700",Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Others,General Work",Manufacturing / Production,51 - 200 Employees
Posted on 17-Feb-22,Citigroup Malaysia,TTS Onboarding Manager - Assistant Vice President - (22422904),,Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Accounting/Finance,Banking/Financial",Banking / Financial Services,2001 - 5000 Employees
Posted on 16-Feb-22,Agensi Pekerjaan PERSOLKELLY Malaysia Sdn Bhd,"Sales Coordinator @ Electronics (ID: 541831) - Penang / Selangor, up to RM 3,500","MYR 2,500 - MYR 3,500",Junior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Sales/Marketing,Sales - Corporate",Human Resources Management / Consulting,201 - 500 Employees
Posted on 10-Mar-22,STARFIVE TECHNOLOGY INTERNATIONAL SDN. BHD.,Junior / Senior / Staff Physical Design Engineer,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Engineering,Electronics",Electrical & Electronics,201 - 500 Employees
Posted on 18-Feb-22,Jaya Catering & Restaurant Sdn Bhd,"Personal Driver, Account Assistant, Restaurant Supervisor, Waiter, Waitress","MYR 1,800 - MYR 2,300",Non-Executive,Not Specified,1 year,Full-Time,"Hotel/Restaurant,Food/Beverage/Restaurant",Food & Beverage / Catering / Restaurant,
