posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted 16 hours ago,VAT Manufacturing Malaysia Sdn Bhd,Elastomer Category Purchasing Executive,"MYR 4,000 - MYR 7,000",Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,501 - 1000 Employees
Posted 3 hours ago,Jabil Circuit Sdn Bhd,Internship for Purchasing Department,,Entry Level,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"Full-Time, Internship","Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted 6 hours ago,Lumileds Malaysia Sdn Bhd,Material Planner,"MYR 4,500 - MYR 6,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 11-Mar-22,Dynacosmos Care Products Sdn Bhd,Purchaser,"MYR 2,800 - MYR 3,500",Senior Executive,Not Specified,1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 14-Mar-22,Agensi Pekerjaan Career Wise Sdn Bhd,Production Control & Logistic Executive,"MYR 3,500 - MYR 4,200",Senior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,1 - 50 Employees
Posted on 11-Mar-22,99 Speed Mart Sdn Bhd,TRAINEE ASSISTANT WAREHOUSE MANAGER,,Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Services,Logistics/Supply Chain",General & Wholesale Trading,More than 5000 Employees
Posted 22 hours ago,Plexus Manufacturing Sdn Bhd,Buyer/Demand Analyst (Fresh Graduated),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
Posted on 14-Mar-22,IMA AUTOMATION MALAYSIA SDN BHD,Purchasing Executive,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 13-Mar-22,WINWAY INTERCONNECT TECHNOLOGY (M) SDN BHD,CS Planner,,Entry Level,Not Specified,1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Electrical & Electronics,51 - 200 Employees
Posted 55 seconds ago,Osadi Commercial Supplies Sdn Bhd,Production/Warehouse Supervisor,"MYR 2,500 - MYR 4,000",Junior Executive,Not Specified,3 years,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,51 - 200 Employees
Posted 3 minutes ago,Flex,Materials Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",8 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,More than 5000 Employees
Posted on 14-Mar-22,ASM Technology (M) Sdn Bhd,Senior Manager - Supply Chain Management,"MYR 10,000 - MYR 12,000",Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",20 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1001 - 2000 Employees
Posted 18 hours ago,Unitrade United Sdn Bhd,Warehouse supervisor,,Non-Executive,Not Specified,2 years,Full-Time,"Building/Construction,Civil/Construction",Others,1 - 50 Employees
Posted on 11-Mar-22,MEP Enviro Technology Sdn Bhd,Warehouse & Logistics Officer,"MYR 2,000 - MYR 3,000",Junior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,201 - 500 Employees
Posted on 11-Mar-22,Company Confidential,SALES OFFICER,"MYR 2,200 - MYR 2,800",Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",3 years,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted on 14-Mar-22,Jora Jobs,Assistant Warehouse Manager,,Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 13-Mar-22,P1 International Sdn Bhd,Despatch,"MYR 1,500 - MYR 2,500",Non-Executive,Primary/Secondary School/O Level,,Full-Time,"Others,General Work",Call Center/IT-Enabled Services/BPO,51 - 200 Employees
Posted 13 hours ago,J&T CARGO,OPERATION EXECUTIVE,,Senior Executive,Not Specified,3 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,1001 - 2000 Employees
Posted 19 hours ago,Jora Jobs,Inventory Planner,,Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 10-Mar-22,BABA ECO GROUP BHD,Warehouse Executive / Assistant Manager,"MYR 4,000 - MYR 5,600",Senior Executive,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted 21 hours ago,Jora Jobs,Warehouse Assistant (Shift Work required),,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Services,Logistics/Supply Chain",Human Resources Management / Consulting,1 - 50 Employees
Posted 18 hours ago,Micron Memory Malaysia Sdn Bhd,Indirect Category Supplier Manager,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",1 year,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 10-Mar-22,ADVANCED ENERGY INDUSTRIES (MALAYSIA) SDN. BHD.,Warehouse Manager,"MYR 8,000 - MYR 10,000",Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 6-Mar-22,RK South Asia Sdn Bhd,Import / Shipping assistants,"MYR 2,000 - MYR 2,800",Non-Executive,Primary/Secondary School/O Level,,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,201 - 500 Employees
Posted on 11-Mar-22,Jinko Solar Technology Sdn Bhd,Production Supervisor,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,More than 5000 Employees
Posted on 8-Mar-22,Faeth Asia Pacific Sdn. Bhd.,LOGISTICS AND WAREHOUSE OFFICER,"MYR 2,000 - MYR 4,000",Entry Level,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,51 - 200 Employees
Posted on 10-Mar-22,TRANSPAK PENANG SDN. BHD.,Procurement Officer,,Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1 - 50 Employees
Posted on 11-Mar-22,Sunway Enterprise (1988) Sdn Bhd,Executive - Sales (Material Handling Equipment),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Sales/Marketing,Retail Sales",General & Wholesale Trading,More than 5000 Employees
Posted on 12-Mar-22,Jora Jobs,Schedule Waste Techincian,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 10-Mar-22,Penfabric Sdn. Berhad,Sales Analyst,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Sales/Marketing,Marketing/Business Dev",Textiles/Garment,501 - 1000 Employees
Posted on 2-Mar-22,Amlex Technology Sdn Bhd,Purchasing Executive,,Junior Executive,Not Specified,2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,51 - 200 Employees
Posted on 3-Mar-22,Yanta Plastic Industry Sdn Bhd,Customer Service Executive,"MYR 2,500 - MYR 3,000",Junior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Services,Customer Service",Polymer / Plastic / Rubber / Tyres,1 - 50 Employees
Posted on 1-Mar-22,Laird Technologies (M) Sdn Bhd,LEAD MATERIALS HANDLER,"MYR 1,500 - MYR 2,000",Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,501 - 1000 Employees
Posted on 11-Mar-22,Jora Jobs,CNC Milling Operator,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 10-Mar-22,DURIO PPE SDN. BHD.,Assistant Sale Manager,"MYR 3,000 - MYR 5,000",Manager,Not Specified,2 years,Full-Time,"Sales/Marketing,Sales - Corporate",Manufacturing / Production,51 - 200 Employees
Posted on 28-Feb-22,DHL Supply Chain (Malaysia) Sdn Bhd,Operation Executive,"MYR 3,000 - MYR 4,200",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,501 - 1000 Employees
Posted on 8-Mar-22,Polyscientific Enterprise Sdn. Bhd.,Customer Services Coordinator cum Admin Executive (Penang / Melaka),"MYR 2,000 - MYR 3,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services,Customer Service",Environment/Health/Safety,51 - 200 Employees
Posted on 28-Feb-22,DYNAPHARM (M) SDN BHD,PURCHASING OFFICER,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",BioTechnology/Pharmaceutical/Clinical research,51 - 200 Employees
Posted on 7-Mar-22,PCI Private Limited,"Electronics Buyer / Purchaser (Based in Malaysia, 1 year contract WFH)",,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Contract,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,51 - 200 Employees
Posted on 28-Feb-22,Iconic Medicare Sdn Bhd,Purchasing Executive,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Healthcare / Medical,201 - 500 Employees
Posted on 4-Mar-22,Team Printers Sdn Bhd,Warehouse Asst Supervisor,"MYR 1,800 - MYR 2,400",Junior Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Printing / Publishing,201 - 500 Employees
Posted on 2-Mar-22,PAN-INTERNATIONAL ELECTRONICS (M) SDN BHD,Production Supervisor,,Non-Executive,Not Specified,2 years,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,1001 - 2000 Employees
Posted on 12-Mar-22,Jora Jobs,General Worker,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Others,General Work",Human Resources Management / Consulting,1 - 50 Employees
Posted on 3-Mar-22,Stratus Automation Sdn Bhd,Production Coordinator,"MYR 3,000 - MYR 5,000",Junior Executive,Not Specified,2 years,Full-Time,"Manufacturing,Manufacturing",Heavy Industrial / Machinery / Equipment,201 - 500 Employees
Posted 11 hours ago,Company Confidential,"【迪拜/ 海外工作机会】RM 6,500中文线上游戏客服 【无需客服经验】","MYR 6,500 - MYR 8,000",Junior Executive,Primary/Secondary School/O Level,1 year,"Full-Time, Contract","Services,Customer Service",,
Posted on 2-Mar-22,Marubun Arrow (M) Sdn Bhd,Assistant Purchasing Manager,,Manager,Not Specified,8 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,1 - 50 Employees
Posted on 14-Mar-22,KEJURUTERAAN FAIZAL SDN. BHD.,Kerani Tender,"MYR 1,300 - MYR 1,600",Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Admin/Human Resources,Clerical/Administrative Support",Construction / Building / Engineering,1 - 50 Employees
Posted on 3-Mar-22,Company Confidential,Overseas Operation Clerk,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,"Services,Logistics/Supply Chain",,
Posted on 10-Mar-22,Berjaya Starbucks Coffee Company Sdn Bhd,Hospitality Specialist,,Junior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",1 year,Full-Time,"Services,Customer Service",Food & Beverage / Catering / Restaurant,2001 - 5000 Employees
Posted on 8-Mar-22,Power Integrations,Test Capacity Planner,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Engineering,Industrial Engineering",Electrical & Electronics,501 - 1000 Employees
Posted on 13-Mar-22,VERONA PLUS STONE SDN BHD,Lorry Driver,"MYR 1,300 - MYR 1,500",Non-Executive,Not Specified,1 year,Full-Time,"Others,General Work",Manufacturing / Production,1 - 50 Employees
Posted on 12-Mar-22,Nirvana Asia Group,Customer Service Assistant (Ayer Itam),,Entry Level,Higher Secondary/STPM/'A' Level/Pre-U,,Full-Time,"Services,Customer Service",Others,501 - 1000 Employees
Posted on 11-Mar-22,OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,Corporate Social Responsibility (CSR) Specialist,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",5 years,Full-Time,"Engineering,Environmental",Semiconductor/Wafer Fabrication,More than 5000 Employees
Posted on 7-Mar-22,Panac Advanced Film Malaysia SDN. BHD,Manufacturing Specialist,"MYR 1,200 - MYR 1,900",Non-Executive,"Primary/Secondary School/O Level, Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 22-Feb-22,Agensi Pekerjaan & Perundingcara Bright Prospect Sdn Bhd,Forwarding (Customer Service Officer/Documentation),"MYR 2,300 - MYR 3,500",Junior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Services,Customer Service",Human Resources Management / Consulting,1 - 50 Employees
Posted on 22-Feb-22,Amlex Technology Sdn Bhd,Production Planning Executive,,Junior Executive,Not Specified,2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,51 - 200 Employees
Posted on 16-Feb-22,EQX Materials Sdn Bhd,CUSTOMER SERVICE & LOGISTICS EXECUTIVE,,Junior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Services,Logistics/Supply Chain",Chemical/Fertilizers/Pesticides,51 - 200 Employees
Posted on 24-Feb-22,UST Global (M) Sdn Bhd,Buyer,"MYR 3,000 - MYR 4,500",Senior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt","Consulting (IT, Science, Engineering & Technical)",More than 5000 Employees
Posted on 21-Feb-22,Le Champ Technology Sdn. Bhd.,Customer Service Officer,"MYR 3,000 - MYR 3,500",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Customer Service",Electrical & Electronics,51 - 200 Employees
Posted on 23-Feb-22,Kintetsu World Express (Malaysia) Sdn Bhd,Logistics Warehouse Executive,"MYR 2,800 - MYR 4,000",Junior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,501 - 1000 Employees
Posted on 23-Feb-22,City-Link Express (M) Sdn Bhd,BRANCH IN CHARGE (PERAI),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Logistics/Supply Chain",Transportation / Logistics,2001 - 5000 Employees
Posted on 3-Mar-22,KMWE Malaysia Sdn Bhd,Deburring Operator,"MYR 1,200 - MYR 1,500",Entry Level,Primary/Secondary School/O Level,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,201 - 500 Employees
Posted on 4-Mar-22,Boston Scientific Medical Device (Malaysia) Sdn. Bhd.,JobStreet Tech Virtual Career Fair (9-11th March 2022),,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Engineering,Electrical",Manufacturing / Production,501 - 1000 Employees
Posted on 8-Mar-22,Chemlite Industries Sdn Bhd,SALES QUOTATION ASSISTANT,"MYR 1,500 - MYR 2,000",Junior Executive,Higher Secondary/STPM/'A' Level/Pre-U,2 years,Full-Time,"Sales/Marketing,Retail Sales",General & Wholesale Trading,51 - 200 Employees
Posted on 23-Feb-22,Jabil Circuit Sdn Bhd,Line Supervisor (Bayan Lepas),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",4 years,Full-Time,"Manufacturing,Manufacturing,Engineering,Electrical",Electrical & Electronics,More than 5000 Employees
Posted on 3-Mar-22,Jora Jobs,Customer Service,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Customer Service",Human Resources Management / Consulting,1 - 50 Employees
Posted on 5-Mar-22,EasyParcel Sdn. Bhd.,Key Account Executive (Singapore Region),"MYR 2,500 - MYR 3,500",Junior Executive,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Sales/Marketing,Sales - Corporate",Computer / Information Technology (Software),51 - 200 Employees
Posted on 4-Mar-22,VAT Manufacturing Malaysia Sdn Bhd,Product Manager,,Manager,"Master's Degree, Doctorate (PhD)",10 years,Full-Time,"Sales/Marketing,Marketing/Business Dev",Manufacturing / Production,501 - 1000 Employees
Posted on 8-Mar-22,BIRDSNEST SECRET SDN BHD,Pastry Trainee / Pastry Assistant,"MYR 1,600 - MYR 2,000",Entry Level,Not Specified,,Full-Time,"Hotel/Restaurant,Food/Beverage/Restaurant",Food & Beverage / Catering / Restaurant,
Posted on 23-Feb-22,SANMINA-SCI SYSTEMS (MALAYSIA) SDN BHD,Production Manager / Asst Manager,"MYR 6,000 - MYR 8,400",Manager,Not Specified,8 years,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,1001 - 2000 Employees
Posted on 11-Mar-22,SUPER STAR FURNITURE SDN. BHD,EXPORT SALES EXECUTIVES,,Entry Level,Not Specified,2 years,Full-Time,"Sales/Marketing,Retail Sales",Manufacturing / Production,1 - 50 Employees
Posted on 6-Mar-22,VAT Manufacturing Malaysia Sdn Bhd,Microsoft D365 ERP Functional Consultant,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",4 years,Full-Time,"Computer/Information Technology,IT-Software",Manufacturing / Production,501 - 1000 Employees
Posted on 25-Feb-22,SEALED AIR (MALAYSIA) SDN. BHD.,Plant Manager,,Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",10 years,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 21-Feb-22,Micron Memory Malaysia Sdn Bhd,AT ISM Supply Manager (Indirect Materials),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",6 years,Full-Time,"Services,Logistics/Supply Chain",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 25-Feb-22,Micron Memory Malaysia Sdn Bhd,"Manager, AT ISM, CAT",,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 10-Mar-22,Marrybrown Sdn Bhd,Crew Supervisor (The Top Komtar),"MYR 1,400 - MYR 1,500",Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Hotel/Restaurant,Food/Beverage/Restaurant",Food & Beverage / Catering / Restaurant,501 - 1000 Employees
Posted on 10-Mar-22,Marrybrown Sdn Bhd,Crew Supervisor (Mydin Bukit Mertajam),"MYR 1,400 - MYR 1,500",Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Hotel/Restaurant,Food/Beverage/Restaurant",Food & Beverage / Catering / Restaurant,501 - 1000 Employees
Posted on 23-Feb-22,Flex,Production Planner - (WD132612),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Others,Others",Manufacturing / Production,More than 5000 Employees
Posted on 26-Feb-22,ULTRA CLEAN TECHNOLOGY (MALAYSIA) SDN. BHD.,Commodity Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",10 years,Full-Time,"Services,Logistics/Supply Chain",Semiconductor/Wafer Fabrication,501 - 1000 Employees
Posted on 23-Feb-22,Flex,Planner Scheduler - (WD132499),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Others,Others",Manufacturing / Production,More than 5000 Employees
Posted on 25-Feb-22,Microchip Operations (Malaysia) Sdn. Bhd,Senior Planner,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Semiconductor/Wafer Fabrication,201 - 500 Employees
Posted on 21-Feb-22,Clarion (Malaysia) Sdn. Bhd.,PURCHASING OFFICER,"MYR 3,000 - MYR 5,000",Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,201 - 500 Employees
Posted on 4-Mar-22,Kenho Auto Parts Sdn Bhd,Store keeper,"MYR 1,800 - MYR 2,200",Entry Level,Primary/Secondary School/O Level,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",General & Wholesale Trading,1 - 50 Employees
Posted on 24-Feb-22,SEATING SBL MALAYSIA SDN. BHD.,Production & Material Planner,"MYR 4,000 - MYR 4,500",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1 - 50 Employees
Posted on 19-Feb-22,B. Braun Medical Industries Sdn. Bhd.,Manager - Operational Excellence & Change Management,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",10 years,Full-Time,"Manufacturing,Manufacturing",Healthcare / Medical,More than 5000 Employees
Posted on 18-Feb-22,Widetech Manufacturing Sdn Bhd,Purchasing Manager,,Manager,Not Specified,5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,501 - 1000 Employees
Posted on 8-Mar-22,GOLDEN SHINE BEAUTY CARE PRODUCTS (M) SDN.BHD,Business Develoment Leader,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Sales/Marketing,Marketing/Business Dev",Grooming / Beauty / Fitness,1 - 50 Employees
Posted on 26-Feb-22,Company Confidential,Sales Administrator,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Sales/Marketing,Marketing/Business Dev",,
Posted on 8-Mar-22,Natural Health Farm Marketing (M) Sdn Bhd,Retail Nutritionist,"MYR 2,500 - MYR 5,000",Non-Executive,"Higher Secondary/STPM/'A' Level/Pre-U, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Sciences,Food Tech/Nutritionist",Healthcare / Medical,51 - 200 Employees
Posted on 1-Mar-22,INDUSMART PLC (PG) SDN.BHD.,INDOOR MANAGER,"MYR 4,000 - MYR 5,600",Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Engineering,Electronics",Electrical & Electronics,1 - 50 Employees
Posted on 17-Feb-22,CHEE WAH CORPORATION BERHAD,Production Planning Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,201 - 500 Employees
Posted on 17-Feb-22,Company Confidential,BUYER (PG),,Senior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",,
Posted on 2-Mar-22,Jora Jobs,Sales Coordinator,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Sales/Marketing,Sales - Corporate",Human Resources Management / Consulting,1 - 50 Employees
Posted on 24-Feb-22,HPS Partners Pte Ltd (MY Div),Procurement Manager/ Senior Manager,"MYR 11,000 - MYR 17,000",Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted on 25-Feb-22,Renesas Electronics (Penang) Sdn. Bhd  (formerly known as Integrated Device Tech,Sales Ops - Pricing  / Quote Analyst,,Senior Executive,Not Specified,5 years,Full-Time,"Sales/Marketing,Sales - Corporate",Manufacturing / Production,501 - 1000 Employees
Posted on 17-Feb-22,AMS Group Of Company,Customer Service Executive,"MYR 2,000 - MYR 2,800",Junior Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Diploma, Advanced/Higher/Graduate Diploma",2 years,Full-Time,"Services,Customer Service",Manufacturing / Production,1 - 50 Employees
Posted on 14-Feb-22,DHL Supply Chain (Malaysia) Sdn Bhd,Transport Coordinator,"MYR 1,500 - MYR 2,500",Entry Level,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"Full-Time, Contract","Services,Logistics/Supply Chain",Transportation / Logistics,501 - 1000 Employees
Posted on 4-Mar-22,Sky Resources Group of Companies,JobStreet Tech Virtual Career Fair (9-11th March 2022),,Junior Executive,Not Specified,1 year,Full-Time,"Computer/Information Technology,IT-Software",Manufacturing / Production,201 - 500 Employees
